pocket,n_molecules,clashes_per_mol,clash_rate,bond_anomalies_per_mol,bond_anomaly_rate,broken_rings_per_mol
14gs_A_rec,9,1.1111111111111112,0.0970873786407767,0.3333333333333333,0.02830188679245283,0.0
1a2g_A_rec,8,1.25,0.17857142857142858,0.125,0.018867924528301886,0.0
1afs_A_rec,10,4.0,0.2962962962962963,0.5,0.035211267605633804,0.0
1ai4_A_rec,6,6.666666666666667,0.5797101449275363,0.16666666666666666,0.014492753623188406,0.16666666666666666
1coy_A_rec,8,8.75,0.6086956521739131,1.0,0.06666666666666667,0.0
1d7j_A_rec,9,66.66666666666667,4.545454545454546,1.1111111111111112,0.08196721311475409,0.0
1djy_A_rec,10,49.0,2.7222222222222223,0.7,0.036458333333333336,0.2
1dxo_C_rec,10,14.0,1.1965811965811965,0.3,0.026785714285714284,0.1
1e8h_A_rec,8,20.0,0.8648648648648649,1.625,0.06666666666666667,0.0
1fmc_B_rec,5,42.0,2.3863636363636362,1.2,0.06666666666666667,0.0
1gg5_A_rec,9,10.0,0.6382978723404256,1.2222222222222223,0.07482993197278912,0.1111111111111111
1h0i_A_rec,5,26.0,0.9219858156028369,2.2,0.0718954248366013,0.0
1h36_A_rec,6,6.666666666666667,0.22857142857142856,1.8333333333333333,0.05789473684210526,0.0
1jn2_P_rec,10,8.0,0.7079646017699115,0.2,0.01818181818181818,0.0
1k9t_A_rec,9,1.1111111111111112,0.17543859649122806,0.0,0.0,0.0
1l3l_A_rec,7,12.857142857142858,0.8571428571428571,0.5714285714285714,0.03669724770642202,0.0
1phk_A_rec,3,6.666666666666667,0.2898550724637681,0.3333333333333333,0.0136986301369863,0.0
1r1h_A_rec,8,32.5,1.4207650273224044,1.25,0.05263157894736842,0.125
1rs9_A_rec,9,10.0,0.6818181818181818,0.5555555555555556,0.038461538461538464,0.0
1umd_B_rec,6,15.0,0.6382978723404256,1.1666666666666667,0.04929577464788732,0.0
2azy_A_rec,9,1.1111111111111112,0.078125,1.6666666666666667,0.11363636363636363,0.0
2cy0_A_rec,7,25.714285714285715,2.2222222222222223,0.14285714285714285,0.012048192771084338,0.0
2e24_A_rec,10,51.0,4.146341463414634,0.6,0.05042016806722689,0.0
2e6d_A_rec,9,13.333333333333334,1.935483870967742,0.1111111111111111,0.01818181818181818,0.0
2f2c_B_rec,8,1.25,0.07751937984496124,0.375,0.022058823529411766,0.0
2gns_A_rec,10,1.0,0.09259259259259259,0.2,0.018691588785046728,0.0
2hcj_B_rec,7,34.285714285714285,2.3529411764705883,0.42857142857142855,0.03125,0.0
2jjg_A_rec,9,10.0,0.8490566037735849,0.2222222222222222,0.018518518518518517,0.0
2pc8_A_rec,10,36.0,2.857142857142857,0.9,0.0661764705882353,0.0
2pqw_A_rec,10,28.0,3.3333333333333335,0.2,0.02702702702702703,0.0
2rhy_A_rec,10,9.0,1.5517241379310345,0.4,0.07692307692307693,0.0
2rma_A_rec,8,7.5,0.48,0.375,0.024793388429752067,0.0
2v3r_A_rec,9,10.0,0.6164383561643836,0.5555555555555556,0.034013605442176874,0.0
