pocket,n_molecules,clashes_per_mol,clash_rate,bond_anomalies_per_mol,bond_anomaly_rate,broken_rings_per_mol
4xli_B_rec,8,0.0,0.0,1.5,0.05853658536585366,0.0
4yhj_A_rec,10,0.0,0.0,1.1,0.04044117647058824,0.0
4z2g_A_rec,9,0.0,0.0,0.2222222222222222,0.005208333333333333,0.0
4zfa_A_rec,8,0.0,0.0,0.0,0.0,0.0
5aeh_A_rec,9,0.0,0.0,0.8888888888888888,0.032,0.0
5b08_A_rec,7,0.0,0.0,1.4285714285714286,0.08064516129032258,0.0
5bur_A_rec,8,0.0,0.0,0.25,0.00881057268722467,0.0
5d7n_D_rec,8,0.0,0.0,0.375,0.013215859030837005,0.0
5i0b_A_rec,8,0.0,0.0,0.0,0.0,0.0
5l1v_A_rec,10,0.0,0.0,0.8,0.03333333333333333,0.0
5liu_X_rec,9,0.0,0.0,0.3333333333333333,0.01744186046511628,0.0
5mgl_A_rec,8,0.0,0.0,0.0,0.0,0.0
5mma_A_rec,9,0.0,0.0,0.2222222222222222,0.011560693641618497,0.0
5ngz_A_rec,9,0.0,0.0,0.6666666666666666,0.03314917127071823,0.0
5q0k_A_rec,8,0.0,0.0,0.375,0.01171875,0.0
5tjn_A_rec,9,0.0,0.0,0.3333333333333333,0.02112676056338028,0.0
5w2g_A_rec,8,0.0,0.0,0.375,0.015873015873015872,0.0
